name,product_url,image_url,size,ean,sku,rrp
Safe Wrap Tie Handle 10 Refuse Sacks,https://www.deebee.co.uk/product/id/637375/barcode/5011302119104/safe-wrap-tie-handle-10-refuse-sacks,https://www.dbstatic.co.uk/assets/products/small/501130/5011302119104.jpg,4 x 10S,5011302119104,637375,£2.29
Le Cube 100 Dustbin Liners 80 Litres,https://www.deebee.co.uk/product/id/299684/barcode/5011302321255/le-cube-100-dustbin-liners-80-litres,https://www.dbstatic.co.uk/assets/products/small/501130/5011302321255.jpg,1 x 100S,5011302321255,299684,Login Required
Local Living Dish Cloths PM1.00,https://www.deebee.co.uk/product/id/885881/barcode/5013668439919/local-living-dish-cloths-pm100,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,10 x 4S,5013668439919,885881,£1.00
Co-op Tie Handle Garden Refuse Sacks,https://www.deebee.co.uk/product/id/796375/barcode/5000128932431/co-op-tie-handle-garden-refuse-sacks,https://www.dbstatic.co.uk/assets/products/small/500012/5000128932431_T0.jpg,12 x 10PK,5000128932431,796375,£3.29
Local Living Heavy Duty Refuse Sacks PM1.29,https://www.deebee.co.uk/product/id/902729/barcode/5013668440267/local-living-heavy-duty-refuse-sacks-pm129,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,12 x 8S,5013668440267,902729,£1.29
Co-op All Purpose Cloths,https://www.deebee.co.uk/product/id/796693/barcode/5000128946674/co-op-all-purpose-cloths,https://www.dbstatic.co.uk/assets/products/small/500012/5000128946674_T0.jpg,14 x 10PK,5000128946674,796693,£2.19
Titan Heavy Duty Refuse Bag 90ltr,https://www.deebee.co.uk/product/id/890439/barcode/5019685007209/titan-heavy-duty-refuse-bag-90ltr,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,8 x 10S,5019685007209,890439,£2.29
Lifestyle Pedal Bin Liners PM1.00,https://www.deebee.co.uk/product/id/734214/barcode/5013668425479/lifestyle-pedal-bin-liners-pm100,https://www.dbstatic.co.uk/assets/products/small/501366/5013668425479.jpg,10 x 30S,5013668425479,734214,£1.00
Local Living Terry Tea Towels PM2.79,https://www.deebee.co.uk/product/id/885399/barcode/5013668439674/local-living-terry-tea-towels-pm279,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,5 x 5PK,5013668439674,885399,£2.79
Titan Strong Refuse Bin Bags 75ltr,https://www.deebee.co.uk/product/id/890451/barcode/5019685007100/titan-strong-refuse-bin-bags-75ltr,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,20 x 10S,5019685007100,890451,£0.79
Co-op No Scratch Sponge,https://www.deebee.co.uk/product/id/796641/barcode/5000128946520/co-op-no-scratch-sponge,https://www.dbstatic.co.uk/assets/products/small/500012/5000128946520_T0.jpg,8 x 4PK,5000128946520,796641,£1.70
Polymax 200 Long Refuse Sacks,https://www.deebee.co.uk/product/id/647224/barcode/5011302701033/polymax-200-long-refuse-sacks,https://www.dbstatic.co.uk/assets/products/small/501130/5011302701033.jpg,1 x 200S,5011302701033,647224,Login Required
Co-op Pedal Bin Liners,https://www.deebee.co.uk/product/id/854023/barcode/5000129332049/co-op-pedal-bin-liners,https://www.dbstatic.co.uk/assets/products/small/500012/5000129332049_T0.jpg,18 x 30PK,5000129332049,854023,£3.05
Titan Heavy Duty Drawstring Liner 75ltr,https://www.deebee.co.uk/product/id/890445/barcode/5019685206701/titan-heavy-duty-drawstring-liner-75ltr,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,20 x 10S,5019685206701,890445,£1.29
Local Living Scourers Pads PM1.00,https://www.deebee.co.uk/product/id/885931/barcode/5013668439797/local-living-scourers-pads-pm100,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,10 x 5S,5013668439797,885931,£1.00
Lifestyle Value Dish Cloths PM1.00,https://www.deebee.co.uk/product/id/818429/barcode/5013668434587/lifestyle-value-dish-cloths-pm100,https://www.dbstatic.co.uk/assets/products/small/501366/5013668434587_T0.jpg,10 x 4S,5013668434587,818429,£1.00
Local Living Rubber Gloves Medium PM1.00,https://www.deebee.co.uk/product/id/885948/barcode/5013668439513/local-living-rubber-gloves-medium-pm100,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,12 x SGL,5013668439513,885948,£1.00
Co-op Cleaning Cloths,https://www.deebee.co.uk/product/id/797191/barcode/5000128945646/co-op-cleaning-cloths,https://www.dbstatic.co.uk/assets/products/small/500012/5000128945646_T0.jpg,18 x 3PK,5000128945646,797191,£1.95
Co-op Microfibre Cloths,https://www.deebee.co.uk/product/id/797293/barcode/5000128945592/co-op-microfibre-cloths,https://www.dbstatic.co.uk/assets/products/small/500012/5000128945592_T0.jpg,12 x 2PK,5000128945592,797293,£1.99
Local Living Yellow Dusters PM1.49,https://www.deebee.co.uk/product/id/885403/barcode/5013668439735/local-living-yellow-dusters-pm149,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,10 x 4S,5013668439735,885403,£1.49
Safe Wrap 20 Swing Bin Liners,https://www.deebee.co.uk/product/id/637381/barcode/5011302115304/safe-wrap-20-swing-bin-liners,https://www.dbstatic.co.uk/assets/products/small/501130/5011302115304.jpg,4 x 20S,5011302115304,637381,£1.79
Lifestyle Value Multi-purpose Cloths PM1.00,https://www.deebee.co.uk/product/id/829406/barcode/5013668434617/lifestyle-value-multi-purpose-cloths-pm100,https://www.dbstatic.co.uk/assets/products/small/501366/5013668434617_T0.jpg,13 x 6S,5013668434617,829406,£1.00
Local Living Rubber Gloves Large PM1.00,https://www.deebee.co.uk/product/id/885954/barcode/5013668439537/local-living-rubber-gloves-large-pm100,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,12 x SGL,5013668439537,885954,£1.00
Local Living Heavy Duty Cleaning Cloths PM1.99,https://www.deebee.co.uk/product/id/885983/barcode/5013668439858/local-living-heavy-duty-cleaning-cloths-pm199,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,5 x 4S,5013668439858,885983,£1.99
Local Living Swing Bin Liners PM1.00,https://www.deebee.co.uk/product/id/906060/barcode/5013668440359/local-living-swing-bin-liners-pm100,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,10 x 15S,5013668440359,906060,£1.00
