name,product_url,image_url,size,ean,sku,rrp
Eristoff Premium Vodka 150cl,https://www.deebee.co.uk/product/id/345466/barcode/5010677802062/eristoff-premium-vodka-150cl,https://www.dbstatic.co.uk/assets/products/small/501067/5010677802062.jpg,6 x 70CL,5010677802062,345466,£19.99
Eristoff Premium Vodka 150cl,https://www.deebee.co.uk/product/id/345466/barcode/5010677802062/eristoff-premium-vodka-150cl,https://www.dbstatic.co.uk/assets/products/small/501067/5010677802062.jpg,1 x 70CL,5010677802062,345466,£19.99
Ciroc Ultra-Premium Vodka 40% vol 70cl,https://www.deebee.co.uk/product/id/479435/barcode/5010103916738/ciroc-ultra-premium-vodka-40-vol-70cl,https://www.dbstatic.co.uk/assets/products/small/501010/5010103916738.jpg,6 x 70CL,5010103916738,479435,£36.99
Ciroc Ultra-Premium Vodka 40% vol 70cl,https://www.deebee.co.uk/product/id/479435/barcode/5010103916738/ciroc-ultra-premium-vodka-40-vol-70cl,https://www.dbstatic.co.uk/assets/products/small/501010/5010103916738.jpg,1 x 70CL,5010103916738,479435,£36.99
Smirnoff No. 21 Vodka 37.5% vol 70cl Bottle PMP £16.99,https://www.deebee.co.uk/product/id/856750/barcode/5410316959285/smirnoff-no-21-vodka-375-vol-70cl-bottle-pmp-1699,https://www.dbstatic.co.uk/assets/products/small/541031/5410316959285.jpg,6 x 70CL,5410316959285,856750,£16.99
Smirnoff No. 21 Vodka 37.5% vol 70cl Bottle PMP £16.99,https://www.deebee.co.uk/product/id/856750/barcode/5410316959285/smirnoff-no-21-vodka-375-vol-70cl-bottle-pmp-1699,https://www.dbstatic.co.uk/assets/products/small/541031/5410316959285.jpg,1 x 70CL,5410316959285,856750,£16.99
"CAZADORES Blanco Tequila, 70cl",https://www.deebee.co.uk/product/id/872914/barcode/7501008660027/cazadores-blanco-tequila-70cl,https://www.dbstatic.co.uk/assets/products/small/750100/7501008660027.jpg,6 x 70CL,7501008660027,872914,£33.99
"CAZADORES Blanco Tequila, 70cl",https://www.deebee.co.uk/product/id/872914/barcode/7501008660027/cazadores-blanco-tequila-70cl,https://www.dbstatic.co.uk/assets/products/small/750100/7501008660027.jpg,1 x 70CL,7501008660027,872914,£33.99
Jägermeister 70cl,https://www.deebee.co.uk/product/id/243431/barcode/4067700011015/jägermeister-70cl,https://www.dbstatic.co.uk/assets/products/small/406770/4067700011015.jpg,6 x 70CL,4067700011015,243431,£24.49
Jägermeister 70cl,https://www.deebee.co.uk/product/id/243431/barcode/4067700011015/jägermeister-70cl,https://www.dbstatic.co.uk/assets/products/small/406770/4067700011015.jpg,1 x 70CL,4067700011015,243431,£24.49
Glen's Vodka 70cl,https://www.deebee.co.uk/product/id/888956/barcode/5016840164333/glens-vodka-70cl,https://www.dbstatic.co.uk/assets/products/small/501684/5016840164333.jpg,6 x 70CL,5016840164333,888956,£15.99
Glen's Vodka 70cl,https://www.deebee.co.uk/product/id/888956/barcode/5016840164333/glens-vodka-70cl,https://www.dbstatic.co.uk/assets/products/small/501684/5016840164333.jpg,1 x 70CL,5016840164333,888956,£15.99
Disaronno Originale Italian Liqueur 700ml,https://www.deebee.co.uk/product/id/397701/barcode/8001110016303/disaronno-originale-italian-liqueur-700ml,https://www.dbstatic.co.uk/assets/products/small/800111/8001110016303.jpg,6 x 70CL,8001110016303,397701,£25.49
Disaronno Originale Italian Liqueur 700ml,https://www.deebee.co.uk/product/id/397701/barcode/8001110016303/disaronno-originale-italian-liqueur-700ml,https://www.dbstatic.co.uk/assets/products/small/800111/8001110016303.jpg,1 x 70CL,8001110016303,397701,£25.49
Glen's Vodka 1 Litre,https://www.deebee.co.uk/product/id/889011/barcode/5016840164715/glens-vodka-1-litre,https://www.dbstatic.co.uk/assets/products/small/501684/5016840164715.jpg,6 x 1LTR,5016840164715,889011,£21.99
Glen's Vodka 1 Litre,https://www.deebee.co.uk/product/id/889011/barcode/5016840164715/glens-vodka-1-litre,https://www.dbstatic.co.uk/assets/products/small/501684/5016840164715.jpg,1 x 1LTR,5016840164715,889011,£21.99
Jack Daniel's Tennessee Whiskey 70cl £23.49 PMP,https://www.deebee.co.uk/product/id/865653/barcode/5099873027912/jack-daniels-tennessee-whiskey-70cl-2349-pmp,https://www.dbstatic.co.uk/assets/products/small/509987/5099873027912_T0.jpg,6 x 70CL,5099873027912,865653,£23.49
Jack Daniel's Tennessee Whiskey 70cl £23.49 PMP,https://www.deebee.co.uk/product/id/865653/barcode/5099873027912/jack-daniels-tennessee-whiskey-70cl-2349-pmp,https://www.dbstatic.co.uk/assets/products/small/509987/5099873027912_T0.jpg,1 x 70CL,5099873027912,865653,£23.49
Smirnoff No. 21 Vodka 37.5% vol 1L Bottle PMP £22.79,https://www.deebee.co.uk/product/id/860208/barcode/5410316959308/smirnoff-no-21-vodka-375-vol-1l-bottle-pmp-2279,https://www.dbstatic.co.uk/assets/products/small/541031/5410316959308.jpg,6 x 1LTR,5410316959308,860208,£22.79
Smirnoff No. 21 Vodka 37.5% vol 1L Bottle PMP £22.79,https://www.deebee.co.uk/product/id/860208/barcode/5410316959308/smirnoff-no-21-vodka-375-vol-1l-bottle-pmp-2279,https://www.dbstatic.co.uk/assets/products/small/541031/5410316959308.jpg,1 x 1LTR,5410316959308,860208,£22.79
Captain Morgan Original Spiced Gold Rum Based Spirit Drink 35% vol 70cl £16.99 PMP 06x01,https://www.deebee.co.uk/product/id/856766/barcode/5000281075037/captain_morgan_original_spiced_gold_rum_based_spirit_drink_35_vol_70cl_1699_pmp_06x01,https://www.dbstatic.co.uk/assets/products/small/500028/5000281075037.jpg,6 x 70CL,5000281075037,856766,£16.99
