name,product_url,image_url,size,ean,sku,rrp
FELIX Original Farm Selection in Jelly Wet Cat Food 12x85g PMP,https://www.deebee.co.uk/product/id/871628/barcode/8445291010383/felix-original-farm-selection-in-jelly-wet-cat-food-12x85g-pmp,https://www.dbstatic.co.uk/assets/products/small/844529/8445291010383.jpg,4 x 85GM,8445291010383,871628,£3.99
Felix Doubly Delicious Countryside Selection in Jelly 12 x 85g (1.02kg),https://www.deebee.co.uk/product/id/886787/barcode/8445291265738/felix-doubly-delicious-countryside-selection-in-jelly-12-x-85g-102kg,https://www.dbstatic.co.uk/assets/products/small/844529/8445291265738.jpg,4 x 85GM,8445291265738,886787,£4.75
Felix As Good As It Looks Meaty Selection in Jelly 12 x 85g (1.02kg),https://www.deebee.co.uk/product/id/886764/barcode/8445291265813/felix_as_good_as_it_looks_meaty_selection_in_jelly_12_x_85g_102kg,https://www.dbstatic.co.uk/assets/products/small/844529/8445291265813.jpg,4 x 85GM,8445291265813,886764,£4.75
Félix As Good As It Looks Ocean Feasts Selection in Jelly 12 x 85g (1.02kg),https://www.deebee.co.uk/product/id/886770/barcode/8445291267114/félix_as_good_as_it_looks_ocean_feasts_selection_in_jelly_12_x_85g_102kg,https://www.dbstatic.co.uk/assets/products/small/844529/8445291267114.jpg,4 x 85GM,8445291267114,886770,£4.75
Whiskas Adult Wet Cat Food Chicken in Jelly Tin 400g,https://www.deebee.co.uk/product/id/849040/barcode/5000166157681/whiskas-adult-wet-cat-food-chicken-in-jelly-tin-400g,https://www.dbstatic.co.uk/assets/products/small/500016/5000166157681.jpg,12 x 400GM,5000166157681,849040,£1.69
FELIX Original Mixed Selection in Jelly Wet Cat Food 12x85g PMP,https://www.deebee.co.uk/product/id/871640/barcode/8445291014657/felix-original-mixed-selection-in-jelly-wet-cat-food-12x85g-pmp,https://www.dbstatic.co.uk/assets/products/small/844529/8445291014657.jpg,4 x 85GM,8445291014657,871640,£3.99
Felix As Good as it Looks Favourites Selection in Jelly 12 x 85g (1.02 kg),https://www.deebee.co.uk/product/id/886793/barcode/8445291265714/felix_as_good_as_it_looks_favourites_selection_in_jelly_12_x_85g_102_kg,https://www.dbstatic.co.uk/assets/products/small/844529/8445291265714.jpg,4 x 85GM,8445291265714,886793,£4.75
Go-Cat with a Tasty Chicken and Turkey Mix with Vegetables 1+ Years 340g,https://www.deebee.co.uk/product/id/854148/barcode/8445290936370/go_cat_with_a_tasty_chicken_and_turkey_mix_with_vegetables_1_years_340g,https://www.dbstatic.co.uk/assets/products/small/844529/8445290936370.jpg,6 x 340GM,8445290936370,854148,£1.75
Felix Original Fish Selection in Jelly 12 x 85g (1.02kg),https://www.deebee.co.uk/product/id/871634/barcode/8445291014626/felix-original-fish-selection-in-jelly-12-x-85g-102kg,https://www.dbstatic.co.uk/assets/products/small/844529/8445291014626.jpg,4 x 85GM,8445291014626,871634,£3.99
Thomas Cat Litter 5L,https://www.deebee.co.uk/product/id/854994/barcode/5000166158824/thomas-cat-litter-5l,https://www.dbstatic.co.uk/assets/products/small/500016/5000166158824.jpg,4 x 5LTR,5000166158824,854994,£3.79
Whiskas 1+ Poultry Feasts Adult Wet Cat Food Pouches in Jelly 12 x 85g,https://www.deebee.co.uk/product/id/839829/barcode/5900951303135/whiskas_1_poultry_feasts_adult_wet_cat_food_pouches_in_jelly_12_x_85g,https://www.dbstatic.co.uk/assets/products/small/590095/5900951303135.jpg,4 x 85GM,5900951303135,839829,£5.89
Whiskas 1+ Meaty Meals Adult Wet Cat Food Pouches in Gravy 12 x 85g,https://www.deebee.co.uk/product/id/839806/barcode/5000166157377/whiskas_1_meaty_meals_adult_wet_cat_food_pouches_in_gravy_12_x_85g,https://www.dbstatic.co.uk/assets/products/small/500016/5000166157377.jpg,4 x 85GM,5000166157377,839806,£5.89
Go-Cat with a Tasty Chicken and Duck Mix 1+ Years 340g,https://www.deebee.co.uk/product/id/854154/barcode/8445290936394/go-cat-with-a-tasty-chicken-and-duck-mix-1-years-340g,https://www.dbstatic.co.uk/assets/products/small/844529/8445290936394.jpg,6 x 340GM,8445290936394,854154,£1.75
Go-Cat with a Tasty Duck and Chicken Mix 1+ Years 750g,https://www.deebee.co.uk/product/id/845005/barcode/8445290697103/go-cat-with-a-tasty-duck-and-chicken-mix-1-years-750g,https://www.dbstatic.co.uk/assets/products/small/844529/8445290697103.jpg,5 x 750GM,8445290697103,845005,£2.99
Local Living Lightweight Cat Litter PM1.69,https://www.deebee.co.uk/product/id/879110/barcode/5013668439186/local-living-lightweight-cat-litter-pm169,https://www.dbstatic.co.uk/assets/products/small/501366/5013668439186_T0.jpg,6 x 3LTR,5013668439186,879110,£1.69
Go-Cat with a Tasty Tuna and Herring Mix and with Vegetables 1+ Years 340g,https://www.deebee.co.uk/product/id/854131/barcode/8445290936356/go_cat_with_a_tasty_tuna_and_herring_mix_and_with_vegetables_1_years_340g,https://www.dbstatic.co.uk/assets/products/small/844529/8445290936356.jpg,6 x 340GM,8445290936356,854131,£1.75
Whiskas 1+ Chicken Adult Dry Cat Food 300g,https://www.deebee.co.uk/product/id/839864/barcode/5900951305597/whiskas-1-chicken-adult-dry-cat-food300g,https://www.dbstatic.co.uk/assets/products/small/590095/5900951305597.jpg,6 x 300GM,5900951305597,839864,£2.49
Felix Original with Chicken in Jelly 85g,https://www.deebee.co.uk/product/id/871611/barcode/8445291037830/felix-original-with-chicken-in-jelly-85g,https://www.dbstatic.co.uk/assets/products/small/844529/8445291037830.jpg,24 x 85GM,8445291037830,871611,£0.59
FELIX As Good As it Looks Tuna in Jelly Wet Cat Food 85g PMP,https://www.deebee.co.uk/product/id/886741/barcode/8445291268807/felix_as_good_as_it_looks_tuna_in_jelly_wet_cat_food_85g_pmp,https://www.dbstatic.co.uk/assets/products/small/844529/8445291268807.jpg,26 x 85GM,8445291268807,886741,£0.75
Classic with Chicken in Jelly 400g,https://www.deebee.co.uk/product/id/848620/barcode/5011792008452/classic-with-chicken-in-jelly-400g,https://www.dbstatic.co.uk/assets/products/small/501179/5011792008452.jpg,12 x 400GM,5011792008452,848620,£1.15
Whiskas Adult Wet Cat Food Salmon in Jelly Tin 400g,https://www.deebee.co.uk/product/id/849056/barcode/5000166157704/whiskas-adult-wet-cat-food-salmon-in-jelly-tin-400g,https://www.dbstatic.co.uk/assets/products/small/500016/5000166157704.jpg,12 x 400GM,5000166157704,849056,£1.69
Whiskas 1+ Mixed Menu Adult Wet Cat Food Pouches in Jelly 12 x 85g,https://www.deebee.co.uk/product/id/839812/barcode/5000166157292/whiskas_1_mixed_menu_adult_wet_cat_food_pouches_in_jelly_12_x_85g,https://www.dbstatic.co.uk/assets/products/small/500016/5000166157292.jpg,4 x 85GM,5000166157292,839812,£5.89
Whiskas 1+ Tuna Adult Dry Cat Food 300g,https://www.deebee.co.uk/product/id/839870/barcode/5900951305672/whiskas-1-tuna-adult-dry-cat-food300g,https://www.dbstatic.co.uk/assets/products/small/590095/5900951305672.jpg,6 x 300GM,5900951305672,839870,£2.49
Felix As Good As It Looks with Chicken in Jelly 85g,https://www.deebee.co.uk/product/id/886758/barcode/8445291268821/felix-as-good-as-it-looks-with-chicken-in-jelly-85g,https://www.dbstatic.co.uk/assets/products/small/844529/8445291268821.jpg,26 x 85GM,8445291268821,886758,£0.75
Catsan Hygiene Non-Clumping Odour Control Cat Litter 5L,https://www.deebee.co.uk/product/id/856419/barcode/4008429082986/catsan-hygiene-non-clumping-odour-control-cat-litter-5l,https://www.dbstatic.co.uk/assets/products/small/400842/4008429082986.jpg,1 x 5LTR,4008429082986,856419,£4.99
Gourmet Mon Petit Intense in a Delicious Sauce 6 x 50g (300g),https://www.deebee.co.uk/product/id/854183/barcode/8445290938725/gourmet-mon-petit-intense-in-a-delicious-sauce-6-x-50g-300g,https://www.dbstatic.co.uk/assets/products/small/844529/8445290938725.jpg,8 x 50GM,8445290938725,854183,£2.45
Whiskas 1+ Fish Favourites Adult Wet Cat Food Pouches in Jelly 12 x 85g,https://www.deebee.co.uk/product/id/839791/barcode/5000166157360/whiskas_1_fish_favourites_adult_wet_cat_food_pouches_in_jelly_12_x_85g,https://www.dbstatic.co.uk/assets/products/small/500016/5000166157360.jpg,4 x 85GM,5000166157360,839791,£5.89
Felix Original with Salmon in Jelly 85g,https://www.deebee.co.uk/product/id/871590/barcode/8445291037106/felix-original-with-salmon-in-jelly-85g,https://www.dbstatic.co.uk/assets/products/small/844529/8445291037106.jpg,24 x 85GM,8445291037106,871590,£0.59
Sanicat 7 Days Freshness Absorbent Litter Aloe Vera 4L,https://www.deebee.co.uk/product/id/787725/barcode/8411514806033/sanicat-7-days-freshness-absorbent-litter-aloe-vera-4l,https://www.dbstatic.co.uk/assets/products/small/841151/8411514806033_T0.jpg,5 x 4LTR,8411514806033,787725,£3.49
Local Living Clumping Cat Litter PM2.29,https://www.deebee.co.uk/product/id/865699/barcode/5013668437359/local-living-clumping-cat-litter-pm229,https://www.dbstatic.co.uk/assets/products/small/501366/5013668437359_T0.jpg,4 x 5LTR,5013668437359,865699,£2.29
Thomas Cat Litter 8L,https://www.deebee.co.uk/product/id/855008/barcode/5000166158817/thomas-cat-litter-8l,https://www.dbstatic.co.uk/assets/products/small/500016/5000166158817.jpg,1 x 8LTR,5000166158817,855008,£4.79
Whiskas Kitten Poultry Feasts Wet Cat Food Pouches in Jelly 12 x 85g,https://www.deebee.co.uk/product/id/839835/barcode/5000166157469/whiskas_kitten_poultry_feasts_wet_cat_food_pouches_in_jelly_12_x_85g,https://www.dbstatic.co.uk/assets/products/small/500016/5000166157469.jpg,4 x 85GM,5000166157469,839835,£5.89
Gourmet Perle Connoisseur's Collection Mini Fillets in Gravy 12 x 85g,https://www.deebee.co.uk/product/id/871663/barcode/8445291388215/gourmet-perle-connoisseurs-collection-mini-fillets-in-gravy-12-x-85g,https://www.dbstatic.co.uk/assets/products/small/844529/8445291388215.jpg,4 x 85GM,8445291388215,871663,£5.25
Felix Original with Lamb in Jelly 85g,https://www.deebee.co.uk/product/id/871605/barcode/8445291036963/felix-original-with-lamb-in-jelly-85g,https://www.dbstatic.co.uk/assets/products/small/844529/8445291036963.jpg,24 x 85GM,8445291036963,871605,£0.59
GOURMET Perle Mini Fillets in Gravy Beef Wet Cat Food 85g PMP,https://www.deebee.co.uk/product/id/845540/barcode/8445290697301/gourmet-perle-mini-fillets-in-gravy-beef-wet-cat-food-85g-pmp,https://www.dbstatic.co.uk/assets/products/small/844529/8445290697301.jpg,26 x 85GM,8445290697301,845540,£0.75
Dreamies Cat Treat Biscuits with Cheese 60g,https://www.deebee.co.uk/product/id/833819/barcode/4008429037986/dreamies-cat-treat-biscuits-with-cheese-60g,https://www.dbstatic.co.uk/assets/products/small/400842/4008429037986.jpg,8 x 60GM,4008429037986,833819,£2.09
