name,product_url,image_url,size,ean,sku,rrp
Lucozade Sport Drink Orange 500ml PMP £1.50,https://www.deebee.co.uk/product/id/863592/barcode/5054267014695/lucozade-sport-drink-orange-500ml-pmp-150,https://www.dbstatic.co.uk/assets/products/small/505426/5054267014695.jpg,12 x 500ML,5054267014695,863592,£1.50
Lucozade Energy Drink Orange 500ml PMP £1.50,https://www.deebee.co.uk/product/id/862776/barcode/5054267014220/lucozade-energy-drink-orange-500ml-pmp-150,https://www.dbstatic.co.uk/assets/products/small/505426/5054267014220.jpg,24 x 500ML,5054267014220,862776,£1.50
Pepsi Max 500ml,https://www.deebee.co.uk/product/id/855769/barcode/4062139015498/pepsi-max-500ml,https://www.dbstatic.co.uk/assets/products/small/406213/4062139015498.jpg,12 x 500ML,4062139015498,855769,£1.35
Lucozade Sport Drink Raspberry 500ml PMP £1.50,https://www.deebee.co.uk/product/id/863607/barcode/5054267014725/lucozade-sport-drink-raspberry-500ml-pmp-150,https://www.dbstatic.co.uk/assets/products/small/505426/5054267014725.jpg,12 x 500ML,5054267014725,863607,£1.50
Oasis Summer Fruits 500ml PM £1.35,https://www.deebee.co.uk/product/id/879871/barcode/5000112674040/oasis-summer-fruits-500ml-pm-135,https://www.dbstatic.co.uk/assets/products/small/500011/5000112674040.jpg,12 x 500ML,5000112674040,879871,£1.35
J2O Orange & Passion Fruit 275ml,https://www.deebee.co.uk/product/id/630085/barcode/50412037/j2o-orange-passion-fruit-275ml,https://www.dbstatic.co.uk/assets/products/small/504120/50412037.jpg,24 x 275ML,50412037,630085,£1.49
Pepsi Max Cherry 500ml,https://www.deebee.co.uk/product/id/855775/barcode/4062139015528/pepsi-max-cherry-500ml,https://www.dbstatic.co.uk/assets/products/small/406213/4062139015528.jpg,12 x 500ML,4062139015528,855775,£1.35
Lucozade Energy Drink Original 500ml PMP £1.50,https://www.deebee.co.uk/product/id/862782/barcode/5054267014237/lucozade-energy-drink-original-500ml-pmp-150,https://www.dbstatic.co.uk/assets/products/small/505426/5054267014237.jpg,24 x 500ML,5054267014237,862782,£1.50
J2O Fruit Blend Apple & Raspberry 275ml,https://www.deebee.co.uk/product/id/873616/barcode/50412143/j2o-fruit-blend-apple-raspberry-275ml,https://www.dbstatic.co.uk/assets/products/small/504121/50412143.jpg,24 x 275ML,50412143,873616,£1.49
Coca-Cola Cherry 500ml PM £1.70,https://www.deebee.co.uk/product/id/880442/barcode/5000112674842/coca-cola-cherry-500ml-pm-170,https://www.dbstatic.co.uk/assets/products/small/500011/5000112674842.jpg,12 x 500ML,5000112674842,880442,£1.70
Coca-Cola Original Taste 500ml PM £1.79,https://www.deebee.co.uk/product/id/901659/barcode/5000112684339/coca-cola-original-taste-500ml-pm-179,https://www.dbstatic.co.uk/assets/products/small/500011/5000112684339.jpg,24 x 500ML,5000112684339,901659,£1.79
Diet Coke 500ml PM £1.35,https://www.deebee.co.uk/product/id/875951/barcode/5000112663969/diet-coke-500ml-pm-135,https://www.dbstatic.co.uk/assets/products/small/500011/5000112663969.jpg,12 x 500ML,5000112663969,875951,£1.35
Lucozade Sport Drink Ice Kick Jude Bellingham Edition 500ml PMP £1 .5,https://www.deebee.co.uk/product/id/888802/barcode/5054267015289/lucozade-sport-drink-ice-kick-jude-bellingham-edition-500ml-pmp-1-5,https://www.dbstatic.co.uk/assets/products/small/505426/5054267015289.jpg,12 x 500ML,5054267015289,888802,£1.50
Dr Pepper Zero Cherry Crush 500ml PM £1.35,https://www.deebee.co.uk/product/id/888667/barcode/5000112680157/dr-pepper-zero-cherry-crush-500ml-pm-135,https://www.dbstatic.co.uk/assets/products/small/500011/5000112680157.jpg,12 x 500ML,5000112680157,888667,£1.35
Oasis Citrus Punch 500ml PM £1.35,https://www.deebee.co.uk/product/id/879865/barcode/5000112674033/oasis-citrus-punch-500ml-pm-135,https://www.dbstatic.co.uk/assets/products/small/500011/5000112674033.jpg,12 x 500ML,5000112674033,879865,£1.35
Vimto 500ml,https://www.deebee.co.uk/product/id/843312/barcode/5010438020582/vimto-500ml,https://www.dbstatic.co.uk/assets/products/small/501043/5010438020582.jpg,12 x 500ML,5010438020582,843312,£1.25
Coca-Cola Original Taste 330ml,https://www.deebee.co.uk/product/id/784282/barcode/54490703/coca-cola-original-taste-330ml,https://www.dbstatic.co.uk/assets/products/small/544907/54490703.jpg,24 x 330ML,54490703,784282,£1.49
Simply Fruity Blackcurrant & Apple 330ml,https://www.deebee.co.uk/product/id/307663/barcode/5000382018438/simply-fruity-blackcurrant-apple-330ml,https://www.dbstatic.co.uk/assets/products/small/500038/5000382018438.jpg,12 x 330ML,5000382018438,307663,£0.79
Fanta Orange 500ml PM £1.35,https://www.deebee.co.uk/product/id/879894/barcode/5000112673951/fanta-orange-500ml-pm-135,https://www.dbstatic.co.uk/assets/products/small/500011/5000112673951.jpg,12 x 500ML,5000112673951,879894,£1.35
Lucozade Energy Drink Cherry 500ml PMP £1.50,https://www.deebee.co.uk/product/id/862810/barcode/5054267014350/lucozade-energy-drink-cherry-500ml-pmp-150,https://www.dbstatic.co.uk/assets/products/small/505426/5054267014350.jpg,12 x 500ML,5054267014350,862810,£1.50
