name,product_url,image_url,size,ean,sku,rrp
"Calpol SixPlus Sugar Free Suspension, Paracetamol Medication, 6+ Years, Strawberry Flavour, 80ml",https://www.deebee.co.uk/product/id/623338/barcode/3574660435221/calpol-sixplus-sugar-free-suspension-paracetamol-medication-6-years-strawberry-flavour-80ml,https://www.dbstatic.co.uk/assets/products/small/357466/3574660435221.jpg,6 x 80ML,3574660435221,623338,£4.99
Rennie 24 Spearmint Chewable Tablets,https://www.deebee.co.uk/product/id/834556/barcode/5010605400490/rennie-24-spearmint-chewable-tablets,https://www.dbstatic.co.uk/assets/products/small/501060/5010605400490.jpg,12 x 24S,5010605400490,834556,£3.59
"Calpol Sugar Free Infant Suspension, Paracetamol Medication, 2+ Months, Strawberry Flavour, 100ml",https://www.deebee.co.uk/product/id/262712/barcode/5010123722708/calpol-sugar-free-infant-suspension-paracetamol-medication-2-months-strawberry-flavour-100ml,https://www.dbstatic.co.uk/assets/products/small/501012/5010123722708.jpg,6 x 100ML,5010123722708,262712,£4.79
Gaviscon Double Action Mint Flavour 12 Chewable Tablets,https://www.deebee.co.uk/product/id/872211/barcode/5000158071377/gaviscon-double-action-mint-flavour-12-chewable-tablets,https://www.dbstatic.co.uk/assets/products/small/500015/5000158071377.jpg,12 x 12S,5000158071377,872211,£3.79
Aspar Ibucalm 200 mg Tablets 16 Film Coated Tablets,https://www.deebee.co.uk/product/id/324037/barcode/5024071270334/aspar-ibucalm-200-mg-tablets-16-film-coated-tablets,https://www.dbstatic.co.uk/assets/products/small/502407/5024071270334.jpg,12 x 16S,5024071270334,324037,£0.79
Rennie Peppermint 24 Chewable Tablets,https://www.deebee.co.uk/product/id/834540/barcode/5010605400483/rennie-peppermint-24-chewable-tablets,https://www.dbstatic.co.uk/assets/products/small/501060/5010605400483.jpg,12 x 24S,5010605400483,834540,£3.59
Nurofen Express Pain Relief 200mg Liquid Capsules x10,https://www.deebee.co.uk/product/id/859065/barcode/5000158100701/nurofen-express-pain-relief-200mg-liquid-capsules-x10,https://www.dbstatic.co.uk/assets/products/small/500015/5000158100701.jpg,12 x 10S,5000158100701,859065,£3.99
Galpharm Paracetamol 500mg Tablets 16 Tablets,https://www.deebee.co.uk/product/id/890025/barcode/5017353504760/galpharm-paracetamol-500mg-tablets-16-tablets,https://www.dbstatic.co.uk/assets/products/small/501735/5017353504760.jpg,12 x 16S,5017353504760,890025,£0.59
Lemsip Max Cold & Flu Lemon 5 Sachets,https://www.deebee.co.uk/product/id/656338/barcode/5000158063945/lemsip-max-cold-flu-lemon-5-sachets,https://www.dbstatic.co.uk/assets/products/small/500015/5000158063945.jpg,6 x 5S,5000158063945,656338,£4.69
Flamingo Paracetamol 500mg 16 Tablets,https://www.deebee.co.uk/product/id/889999/barcode/5060464503184/flamingo-paracetamol-500mg-16-tablets,https://www.dbstatic.co.uk/assets/products/small/506046/5060464503184.jpg,6 x 16S,5060464503184,889999,£0.79
"Clearblue Pregnancy Test, Fast & Easy, 2",https://www.deebee.co.uk/product/id/758849/barcode/4084500422780/clearblue-pregnancy-test-fast-easy-2,https://www.dbstatic.co.uk/assets/products/small/408450/4084500422780.jpg,6 x 1S,4084500422780,758849,£5.79
Imodium Instants for on the go Diarrhoea Relief 6 Tablets,https://www.deebee.co.uk/product/id/373788/barcode/5027097407319/imodium-instants-for-on-the-go-diarrhoea-relief-6-tablets,https://www.dbstatic.co.uk/assets/products/small/502709/5027097407319.jpg,6 x 6S,5027097407319,373788,£5.29
Anadin Painkiller Caplets Extra 8s,https://www.deebee.co.uk/product/id/653762/barcode/5000309007682/anadin-painkiller-caplets-extra-8s,https://www.dbstatic.co.uk/assets/products/small/500030/5000309007682.jpg,12 x 8S,5000309007682,653762,£2.69
Sudafed Blocked Nose Spray 15ml,https://www.deebee.co.uk/product/id/758435/barcode/3574660534887/sudafed-blocked-nose-spray-15ml,https://www.dbstatic.co.uk/assets/products/small/357466/3574660534887.jpg,5 x 15ML,3574660534887,758435,£4.69
Imodium Original Loperamide Hydrochloride 2mg 6 Capsules,https://www.deebee.co.uk/product/id/545820/barcode/5027097901176/imodium-original-loperamide-hydrochloride-2mg-6-capsules,https://www.dbstatic.co.uk/assets/products/small/502709/5027097901176.jpg,6 x 6S,5027097901176,545820,£3.99
Lemsip Max Day & Night Cold & Flu Relief Capsules 16 Capsules,https://www.deebee.co.uk/product/id/859059/barcode/5000158065420/lemsip-max-day-night-cold-flu-relief-capsules-16-capsules,https://www.dbstatic.co.uk/assets/products/small/500015/5000158065420.jpg,6 x 16S,5000158065420,859059,£5.99
"Piriteze Hayfever & Allergy Antihistamine Tablets, 7s",https://www.deebee.co.uk/product/id/879480/barcode/5054563060471/piriteze-hayfever-allergy-antihistamine-tablets-7s,https://www.dbstatic.co.uk/assets/products/small/505456/5054563060471.jpg,6 x 7S,5054563060471,879480,£4.99
Strepsils Honey & Lemon Lozenges x16 for Sore Throat,https://www.deebee.co.uk/product/id/880340/barcode/5000158100510/strepsils-honey-lemon-lozenges-x16-for-sore-throat,https://www.dbstatic.co.uk/assets/products/small/500015/5000158100510.jpg,12 x 16S,5000158100510,880340,£3.79
Benylin Chesty Coughs Non-Drowsy 150ml,https://www.deebee.co.uk/product/id/759709/barcode/5010123727703/benylin-chesty-coughs-non-drowsy-150ml,https://www.dbstatic.co.uk/assets/products/small/501012/5010123727703.jpg,6 x 150ML,5010123727703,759709,£5.99
Nurofen for Children Strawberry Oral Suspension 3mths to 9yrs Ibuprofen 100ml,https://www.deebee.co.uk/product/id/759694/barcode/5000158100589/nurofen-for-children-strawberry-oral-suspension-3mths-to-9yrs-ibuprofen-100ml,https://www.dbstatic.co.uk/assets/products/small/500015/5000158100589.jpg,6 x 100ML,5000158100589,759694,£4.69
Covonia Dry & Tickly Cough Linctus 150ml,https://www.deebee.co.uk/product/id/861523/barcode/5011309013719/covonia-dry-tickly-cough-linctus-150ml,https://www.dbstatic.co.uk/assets/products/small/501130/5011309013719.jpg,6 x 150ML,5011309013719,861523,£5.69
Vicks Inhaler Nasal Stick,https://www.deebee.co.uk/product/id/310172/barcode/8006540616048/vicks-inhaler-nasal-stick,https://www.dbstatic.co.uk/assets/products/small/800654/8006540616048.jpg,12 x 0.5ML,8006540616048,310172,£2.89
"Bonjela Adult Ulcer Sugar Free Gel, 15g",https://www.deebee.co.uk/product/id/854306/barcode/5000158062139/bonjela-adult-ulcer-sugar-free-gel-15g,https://www.dbstatic.co.uk/assets/products/small/500015/5000158062139.jpg,12 x 15GM,5000158062139,854306,£5.99
Benylin Mucus Cough Max Honey & Lemon Flavour 100 mg/5 ml Syrup 150ml,https://www.deebee.co.uk/product/id/840130/barcode/3574661353357/benylin-mucus-cough-max-honey-lemon-flavour-100-mg5-ml-syrup-150ml,https://www.dbstatic.co.uk/assets/products/small/357466/3574661353357.jpg,6 x 150ML,3574661353357,840130,£6.49
Durex 6 Regular Fit Originals Extra Safe Condoms,https://www.deebee.co.uk/product/id/514620/barcode/5052197025958/durex-6-regular-fit-originals-extra-safe-condoms,https://www.dbstatic.co.uk/assets/products/small/505219/5052197025958.jpg,6 x 6PK,5052197025958,514620,£5.09
Galpharm One-a-Day Allergy and Hayfever Relief 10mg Tablets 14 Tablets,https://www.deebee.co.uk/product/id/880840/barcode/5017353505231/galpharm-one-a-day-allergy-and-hayfever-relief-10mg-tablets-14-tablets,https://www.dbstatic.co.uk/assets/products/small/501735/5017353505231.jpg,10 x 14S,5017353505231,880840,£1.19
Galpharm Flu-Max All-In-One Chesty Cough & Cold Tablets 16 Tablets,https://www.deebee.co.uk/product/id/683970/barcode/5017353505286/galpharm-flu-max-all-in-one-chesty-cough-cold-tablets-16-tablets,https://www.dbstatic.co.uk/assets/products/small/501735/5017353505286.jpg,10 x 16S,5017353505286,683970,£1.79
Nuromol Dual Action Pain Relief 200mg/500mg 16 Tablets,https://www.deebee.co.uk/product/id/859109/barcode/5011417583227/nuromol-dual-action-pain-relief-200mg500mg-16-tablets,https://www.dbstatic.co.uk/assets/products/small/501141/5011417583227.jpg,6 x 16S,5011417583227,859109,£4.99
Vicks VapoRub relief of cough cold & flu like symptoms Jar 50g,https://www.deebee.co.uk/product/id/258368/barcode/5011321365353/vicks-vaporub-relief-of-cough-cold-flu-like-symptoms-jar-50g,https://www.dbstatic.co.uk/assets/products/small/501132/5011321365353.jpg,6 x 50GM,5011321365353,258368,£4.29
